benchmark,job_id,kind,model,pair_type,style_category,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,lpips_content,output,seconds,siglip_content,siglip_style
piebench,pie_7_2,edit,flux_img2img,,,material,0.8942456245422363,,0.03425434231758118,0.3212324380874634,0.35548678040504456,0.009804006351176441,,0.9147680401802063,,,,,0.1930643767118454,outputs/flux_img2img/pie_7_2_flux_img2img_s0.png,7.5,0.9026625156402588,
piebench,pie_8_0,edit,flux_img2img,,,global,0.916800320148468,,-0.029191046953201294,0.31715822219848633,0.28796717524528503,0.0037408758942096536,,0.7671754956245422,,,,,0.14176107943058014,outputs/flux_img2img/pie_8_0_flux_img2img_s0.png,7.5,0.9483733773231506,
piebench,pie_8_1,edit,flux_img2img,,,global,0.92957603931427,,-0.0049727559089660645,0.37899917364120483,0.37402641773223877,0.0027866357807580233,,0.8566036224365234,,,,,0.2682854235172272,outputs/flux_img2img/pie_8_1_flux_img2img_s0.png,7.5,0.9157212972640991,
piebench,pie_8_2,edit,flux_img2img,,,global,0.9450215101242065,,0.011923611164093018,0.2963693141937256,0.3082929253578186,0.009063917455397415,,0.9117549657821655,,,,,0.18263843655586243,outputs/flux_img2img/pie_8_2_flux_img2img_s0.png,7.5,0.9252638816833496,
piebench,pie_9_0,edit,flux_img2img,,,style,0.9360626935958862,,0.011130541563034058,0.30890291929244995,0.320033460855484,0.004167294084718297,,0.6594533920288086,,,,,0.3149416148662567,outputs/flux_img2img/pie_9_0_flux_img2img_s0.png,7.5,0.929284930229187,
piebench,pie_9_1,edit,flux_img2img,,,style,0.9602463245391846,,0.00902441143989563,0.3016273081302643,0.3106517195701599,8.275340090786157e-05,,0.9774675369262695,,,,,0.017011865973472595,outputs/flux_img2img/pie_9_1_flux_img2img_s0.png,7.5,0.9872291088104248,
piebench,pie_9_2,edit,flux_img2img,,,style,0.970133900642395,,-0.04907572269439697,0.34728628396987915,0.2982105612754822,0.007150797345772734,,0.8155181407928467,,,,,0.26738595962524414,outputs/flux_img2img/pie_9_2_flux_img2img_s0.png,7.5,0.9663462042808533,
custom_leakage,leak_0_aligned,style,flux_redux,aligned,oil,style,0.44400012493133545,0.8864434361457825,,,0.23270943760871887,0.06590543346964359,0.040624452909466605,0.14569862186908722,0.7435330152511597,0.018030082591898835,0.8864434361457825,0.7435330152511597,0.7619324922561646,outputs/flux_redux/leak_0_aligned_flux_redux_s0.png,17.1,0.5628418326377869,0.9039762616157532
custom_leakage,leak_0_adversarial,style,flux_redux,adversarial,watercolor,style,0.3553585708141327,0.7885903120040894,,,0.22925350069999695,0.20687903941744407,0.10992245362703451,0.027538854628801346,0.6430988907814026,0.012214815274475736,0.7885903120040894,0.6430988907814026,0.7635722756385803,outputs/flux_redux/leak_0_adversarial_flux_redux_s0.png,17.2,0.47773146629333496,0.8015453815460205
custom_leakage,leak_1_aligned,style,flux_redux,aligned,oil,style,0.49155229330062866,0.7955172061920166,,,0.2406628578901291,0.1268210946677824,0.12996153276271388,0.02961196005344391,0.6490267515182495,0.016691631798907744,0.7955172061920166,0.6490267515182495,0.7238669395446777,outputs/flux_redux/leak_1_aligned_flux_redux_s0.png,17.3,0.4612870514392853,0.8588480353355408
custom_leakage,leak_1_adversarial,style,flux_redux,adversarial,watercolor,style,0.46742919087409973,0.7260210514068604,,,0.2268812656402588,0.14363690070692683,0.06231107676218686,-0.007264578714966774,0.6983680725097656,0.018208148533152967,0.7260210514068604,0.6983680725097656,0.7344957590103149,outputs/flux_redux/leak_1_adversarial_flux_redux_s0.png,17.3,0.49477070569992065,0.7675023078918457
custom_leakage,leak_2_aligned,style,flux_redux,aligned,impressionist,style,0.3670421540737152,0.7534292936325073,,,0.22800633311271667,0.08363149755478999,0.03941977321508898,0.07755353301763535,0.8075450658798218,0.0181348232886129,0.7534292936325073,0.8075450658798218,0.6589102745056152,outputs/flux_redux/leak_2_aligned_flux_redux_s0.png,17.4,0.6099725961685181,0.7966264486312866
custom_leakage,leak_2_adversarial,style,flux_redux,adversarial,watercolor,style,0.37845897674560547,0.7194843888282776,,,0.23114769160747528,0.059853761129299174,0.044888646675753506,-0.03728162869811058,0.5804241299629211,0.009733892103234113,0.7194843888282776,0.5804241299629211,0.7227609157562256,outputs/flux_redux/leak_2_adversarial_flux_redux_s0.png,17.4,0.49068307876586914,0.7638529539108276
custom_leakage,leak_3_aligned,style,flux_redux,aligned,impressionist,style,0.5038341283798218,0.812255322933197,,,0.2454850673675537,0.06472519968702994,0.031246646249598057,0.07741288840770721,0.6857696175575256,0.024322276214945718,0.812255322933197,0.6857696175575256,0.7152114510536194,outputs/flux_redux/leak_3_aligned_flux_redux_s0.png,17.4,0.40916916728019714,0.7792403697967529
custom_leakage,leak_3_adversarial,style,flux_redux,adversarial,abstract,style,0.5246407389640808,0.8562791347503662,,,0.2366742491722107,0.093685623698199,0.0774673268467094,-0.051813267171382904,0.7595798969268799,0.03260769443876689,0.8562791347503662,0.7595798969268799,0.7556782960891724,outputs/flux_redux/leak_3_adversarial_flux_redux_s0.png,17.4,0.4430909752845764,0.8285625576972961
custom_leakage,leak_4_aligned,style,flux_redux,aligned,oil,style,0.4555127024650574,0.8667241334915161,,,0.24303483963012695,0.3003533392056151,0.09563494119915994,-0.047581855207681656,0.6447133421897888,0.02605158948926785,0.8667241334915161,0.6447133421897888,0.7907938957214355,outputs/flux_redux/leak_4_aligned_flux_redux_s0.png,17.4,0.42163193225860596,0.7678227424621582
custom_leakage,leak_4_adversarial,style,flux_redux,adversarial,abstract,style,0.5653018355369568,0.8972070217132568,,,0.234063982963562,0.24128924616336284,0.09112337841361223,0.0001032613217830658,0.770563542842865,0.01651057585312263,0.8972070217132568,0.770563542842865,0.773678183555603,outputs/flux_redux/leak_4_adversarial_flux_redux_s0.png,17.3,0.4569877088069916,0.8596194982528687
custom_leakage,leak_5_aligned,style,flux_redux,aligned,impressionist,style,0.4481201767921448,0.7422047257423401,,,0.23239436745643616,0.1216516265551583,0.04498482631108042,0.039199650287628174,0.6854112148284912,0.012022003881643855,0.7422047257423401,0.6854112148284912,0.8206688761711121,outputs/flux_redux/leak_5_aligned_flux_redux_s0.png,17.3,0.47261226177215576,0.7569289207458496
custom_leakage,leak_5_adversarial,style,flux_redux,adversarial,abstract,style,0.4955892860889435,0.8225674629211426,,,0.2262691855430603,0.1665438253418275,0.11896433153934675,0.08051929622888565,0.6576439738273621,0.020435407124157166,0.8225674629211426,0.6576439738273621,0.7842366695404053,outputs/flux_redux/leak_5_adversarial_flux_redux_s0.png,17.3,0.5307812094688416,0.8528245687484741
custom_leakage,leak_6_aligned,style,flux_redux,aligned,watercolor,style,0.41226813197135925,0.7885903120040894,,,0.22925350069999695,0.09550020314927196,0.10992245362703451,0.06293699890375137,0.6430988907814026,0.012214815274475736,0.7885903120040894,0.6430988907814026,0.7404511570930481,outputs/flux_redux/leak_6_aligned_flux_redux_s0.png,17.3,0.5098220109939575,0.8015453815460205
custom_leakage,leak_6_adversarial,style,flux_redux,adversarial,oil,style,0.41170790791511536,0.8864434361457825,,,0.23270943760871887,0.08715352682839367,0.040624452909466605,-0.028981532901525497,0.7435330152511597,0.018030082591898835,0.8864434361457825,0.7435330152511597,0.8601171374320984,outputs/flux_redux/leak_6_adversarial_flux_redux_s0.png,17.3,0.5021770596504211,0.9039762616157532
custom_leakage,leak_7_aligned,style,flux_redux,aligned,watercolor,style,0.3914317488670349,0.7260210514068604,,,0.2268812656402588,0.10992180367900312,0.06231107676218686,-0.018751319497823715,0.6983680725097656,0.018208148533152967,0.7260210514068604,0.6983680725097656,0.6884180307388306,outputs/flux_redux/leak_7_aligned_flux_redux_s0.png,17.3,0.49667537212371826,0.7675023078918457
