bucket,experiment,job_id,prompt_key,source_id,spectral_op,style_category,style_id,task_type,clipI_content,clipI_style,clipT_gain,clipT_source,clipT_target,clip_leak_gap,colorhist_content,colorhist_style,dino_content,dino_style,fourier_style,leak_clip_style,leak_dino_style,leak_gap,lpips_content,output,seconds,siglip_content,siglip_style
spectral_reference,spectral_reference,ref_leak_3_adversarial_style_high_on_content,neutral_style,mb_122896,style_high_on_content,abstract,style_abstract_0,stylization_adversarial,0.80631,0.54235,,,,0.26396,0.08635,0.0954,0.68121,0.11305,0.04695,0.54235,0.11305,0.56816,0.53513,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_3_adversarial_style_high_on_content_s0.png,54.0,0.72948,0.54075
kontext_baseline_replay,spectral_reference,ref_leak_6_adversarial_content_raw,neutral_style,mb_483587,content_raw,oil,style_oil_0,stylization_adversarial,0.83735,0.48567,,,,0.35167,0.1892,0.14781,0.89956,0.00823,0.0293,0.48567,0.00823,0.89133,0.40919,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_6_adversarial_content_raw_s0.png,54.0,0.88376,0.54097
spectral_reference,spectral_reference,ref_leak_6_adversarial_content_phase_style_amp,neutral_style,mb_483587,content_phase_style_amp,oil,style_oil_0,stylization_adversarial,0.62292,0.62579,,,,-0.00287,0.16745,0.12454,0.33004,0.27686,0.03178,0.62579,0.27686,0.05318,0.5747,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_6_adversarial_content_phase_style_amp_s0.png,54.1,0.66371,0.69173
spectral_reference,spectral_reference,ref_leak_6_adversarial_style_phase_content_amp,neutral_style,mb_483587,style_phase_content_amp,oil,style_oil_0,stylization_adversarial,0.44472,0.84011,,,,-0.39539,0.15732,0.11117,0.08923,0.6605,0.02432,0.84011,0.6605,-0.57126,0.76291,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_6_adversarial_style_phase_content_amp_s0.png,54.1,0.537,0.79916
spectral_reference,spectral_reference,ref_leak_6_adversarial_style_high_on_content,neutral_style,mb_483587,style_high_on_content,oil,style_oil_0,stylization_adversarial,0.74216,0.4256,,,,0.31656,0.19401,0.15096,0.87654,0.0516,0.03496,0.4256,0.0516,0.82494,0.40549,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_6_adversarial_style_high_on_content_s0.png,54.1,0.88263,0.55766
kontext_baseline_replay,spectral_reference,ref_leak_7_adversarial_content_raw,neutral_style,mb_393375,content_raw,oil,style_oil_1,stylization_adversarial,0.94568,0.34543,,,,0.60025,0.0806,0.16869,0.93119,0.07257,0.0222,0.34543,0.07257,0.85862,0.12679,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_7_adversarial_content_raw_s0.png,54.1,0.93167,0.39479
spectral_reference,spectral_reference,ref_leak_7_adversarial_content_phase_style_amp,neutral_style,mb_393375,content_phase_style_amp,oil,style_oil_1,stylization_adversarial,0.66623,0.56206,,,,0.10416,0.12193,0.24196,0.80225,0.11904,0.04227,0.56206,0.11904,0.6832,0.37552,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_7_adversarial_content_phase_style_amp_s0.png,54.2,0.77085,0.50754
spectral_reference,spectral_reference,ref_leak_7_adversarial_style_phase_content_amp,neutral_style,mb_393375,style_phase_content_amp,oil,style_oil_1,stylization_adversarial,0.44489,0.75852,,,,-0.31363,0.07965,0.20788,-0.00937,0.4786,0.05835,0.75852,0.4786,-0.48797,0.77632,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_7_adversarial_style_phase_content_amp_s0.png,54.1,0.44434,0.74702
spectral_reference,spectral_reference,ref_leak_7_adversarial_style_high_on_content,neutral_style,mb_393375,style_high_on_content,oil,style_oil_1,stylization_adversarial,0.9321,0.37559,,,,0.5565,0.08632,0.17176,0.93162,0.04811,0.02597,0.37559,0.04811,0.88351,0.10319,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_7_adversarial_style_high_on_content_s0.png,54.2,0.87822,0.43523
kontext_baseline_replay,spectral_reference,ref_leak_8_adversarial_content_raw,neutral_style,mb_341070,content_raw,impressionist,style_impressionist_0,stylization_adversarial,0.82949,0.49098,,,,0.33851,0.04182,0.08719,0.91225,0.07491,0.01887,0.49098,0.07491,0.83734,0.41199,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_8_adversarial_content_raw_s0.png,54.0,0.84036,0.44962
spectral_reference,spectral_reference,ref_leak_8_adversarial_content_phase_style_amp,neutral_style,mb_341070,content_phase_style_amp,impressionist,style_impressionist_0,stylization_adversarial,0.5663,0.57403,,,,-0.00773,0.04768,0.06067,0.48234,0.29279,0.01253,0.57403,0.29279,0.18955,0.63062,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_8_adversarial_content_phase_style_amp_s0.png,54.0,0.67945,0.50163
spectral_reference,spectral_reference,ref_leak_8_adversarial_style_phase_content_amp,neutral_style,mb_341070,style_phase_content_amp,impressionist,style_impressionist_0,stylization_adversarial,0.29464,0.7544,,,,-0.45976,0.06447,0.01933,-0.00586,0.85665,0.01449,0.7544,0.85665,-0.86251,0.80021,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_8_adversarial_style_phase_content_amp_s0.png,54.0,0.39177,0.71882
spectral_reference,spectral_reference,ref_leak_8_adversarial_style_high_on_content,neutral_style,mb_341070,style_high_on_content,impressionist,style_impressionist_0,stylization_adversarial,0.85876,0.47741,,,,0.38135,0.04316,0.08543,0.90576,0.0915,0.01831,0.47741,0.0915,0.81426,0.38484,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_8_adversarial_style_high_on_content_s0.png,54.0,0.85245,0.46149
kontext_baseline_replay,spectral_reference,ref_leak_9_adversarial_content_raw,neutral_style,mb_237569,content_raw,impressionist,style_impressionist_1,stylization_adversarial,0.93193,0.30132,,,,0.63061,0.11992,0.11976,0.92766,0.00259,0.00803,0.30132,0.00259,0.92506,0.27821,e50_spectral_kontext_pilot/outputs/kontext_baseline_replay/ref_leak_9_adversarial_content_raw_s0.png,54.0,0.92653,0.3615
spectral_reference,spectral_reference,ref_leak_9_adversarial_content_phase_style_amp,neutral_style,mb_237569,content_phase_style_amp,impressionist,style_impressionist_1,stylization_adversarial,0.61499,0.36377,,,,0.25122,0.08641,0.04022,0.58832,0.26537,0.0083,0.36377,0.26537,0.32295,0.59968,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_9_adversarial_content_phase_style_amp_s0.png,54.0,0.7443,0.52076
spectral_reference,spectral_reference,ref_leak_9_adversarial_style_phase_content_amp,neutral_style,mb_237569,style_phase_content_amp,impressionist,style_impressionist_1,stylization_adversarial,0.31005,0.64381,,,,-0.33377,0.1087,0.01065,0.03874,0.33897,0.01535,0.64381,0.33897,-0.30023,0.87316,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_9_adversarial_style_phase_content_amp_s0.png,54.0,0.41962,0.61688
spectral_reference,spectral_reference,ref_leak_9_adversarial_style_high_on_content,neutral_style,mb_237569,style_high_on_content,impressionist,style_impressionist_1,stylization_adversarial,0.90271,0.34678,,,,0.55593,0.11185,0.11879,0.91958,0.01483,0.01013,0.34678,0.01483,0.90475,0.25459,e50_spectral_kontext_pilot/outputs/spectral_reference/ref_leak_9_adversarial_style_high_on_content_s0.png,54.0,0.88214,0.41543
