prompt_id,seed,step_index,node_i,jf,psnr_jump,psnr_cache,delta_psnr_jump_minus_cache,cost_jump,cost_cache,compute_saved,label_jump_helpful,sigma,delta_sigma,progress,remaining_steps,raw_rel_l1,acc_rel_l1,h_norm,h_norm_drift,h_cos_drift,refresh_distance,prev_action_code,src_rel_l1,tar_rel_l1,cos_hsrc_htar,rel_l1_src_tar,branch_asymmetry,dv_norm_proxy
geneval_two_object_2,0,16,16,1.1810302734375,37.758,36.506,1.252,5.105,4.14,-0.965,1,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.1103515625,0.1103515625,0.08837890625,0.07653061224409828,0.002150118350982666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,18,18,1.04949951171875,38.421,38.36,0.061,4.088,4.105,0.018,1,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.11083984375,0.32080078125,0.0771484375,0.06508875739566093,0.0028405189514160156,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,20,20,1.18408203125,37.996,37.908,0.088,3.07,3.088,0.018,1,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.10546875,0.10546875,0.0693359375,0.04697986577116634,0.0035753250122070312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,22,22,1.0333251953125,38.983,40.667,-1.683,3.035,3.053,0.018,0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.1298828125,0.3466796875,0.06494140625,0.029197080291534335,0.006871938705444336,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_two_object_2,0,24,24,1.17889404296875,39.9,39.336,0.565,2.018,2.035,0.018,1,0.23834773898124695,-0.05446554720401764,0.8571428571428571,4.0,0.11376953125,0.11376953125,0.064453125,0.0076335877861402005,0.005788862705230713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,10,10,1.0467529296875,27.302,27.663,-0.36,6.193,6.211,0.018,0,0.771673858165741,-0.02796834707260132,0.35714285714285715,18.0,0.1533203125,0.3251953125,0.1640625,0.12041884816689366,0.005318999290466309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,12,12,1.1749267578125,29.65,29.579,0.071,5.175,5.193,0.018,1,0.714569628238678,-0.030378341674804688,0.42857142857142855,16.0,0.1201171875,0.1201171875,0.13671875,0.08496732026086924,0.0035704970359802246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,14,14,1.03363037109375,31.278,31.428,-0.15,5.14,5.158,0.018,1,0.652489423751831,-0.03311377763748169,0.5,14.0,0.1142578125,0.34619140625,0.1171875,0.07692307692247101,0.0026547908782958984,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,16,16,1.18377685546875,33.811,32.585,1.225,5.105,4.14,-0.965,1,0.5847535133361816,-0.03623616695404053,0.5714285714285714,12.0,0.10595703125,0.10595703125,0.103515625,0.06607929515358885,0.0021639466285705566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,18,18,1.05804443359375,34.366,34.382,-0.015,4.088,4.105,0.018,1,0.5105518102645874,-0.03982192277908325,0.6428571428571429,10.0,0.1064453125,0.30712890625,0.09228515625,0.05970149253670513,0.0024404525756835938,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,20,20,1.18408203125,36.659,33.899,2.759,4.053,3.088,-0.965,1,0.4289122223854065,-0.043967485427856445,0.7142857142857143,8.0,0.10546875,0.10546875,0.0830078125,0.05027932960836328,0.0030665993690490723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,22,22,1.0302734375,35.2,36.681,-1.482,3.035,3.053,0.018,0,0.338657408952713,-0.04879581928253174,0.7857142857142857,6.0,0.1298828125,0.3515625,0.07763671875,0.024539877300305164,0.005850851535797119,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
geneval_counting_1,0,24,24,1.17401123046875,36.028,35.476,0.551,2.018,2.035,0.018,1,0.23834773898124695,-0.05446554720401764,0.8571428571428571,4.0,0.12158203125,0.12158203125,0.0751953125,0.006451612903140561,0.00649648904800415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
